model,prosocial,cond_id,condition,m,q,R,u,e,o,m_lo,m_hi,q_lo,q_hi,R_lo,R_hi,u_lo,u_hi,e_lo,e_hi,m_hw,q_hw,R_hw,u_hw,e_hw,o_hw,full_horizon,below_horizon,n_parent_runs,total_runs
gpt-4o,2,2,code-law,12.0,1.0,167.13333333333333,0.40513333333333335,0.8735666666666667,0.19996666666666665,12.0,12.0,1.0,1.0,153.84833333333333,181.26666666666665,0.3042666666666667,0.5442,0.8300000000000001,0.9156666666666666,0.0,0.0,13.70916666666667,0.11996666666666667,0.042833333333333314,0.10278333333333332,15,0,3,15
gpt-4o,2,1,nl,10.6,0.8833,223.4,0.5700000000000001,0.8598,0.35,7.8,12.0,0.65,1.0,179.2,267.0,0.41335,0.7276,0.7984,0.9199,2.1,0.175,43.900000000000006,0.157125,0.060750000000000026,0.275,8,2,2,10
gpt-4o,3,0,no-contract,9.200000000000001,0.7666333333333334,222.86666666666667,0.6535333333333333,0.8965,0.3955666666666667,5.733333333333333,12.0,0.45553333333333335,1.0,159.20000000000002,286.47666666666663,0.48256666666666675,0.8424999999999999,0.8478333333333333,0.9437666666666665,3.1333333333333333,0.2722333333333333,63.63833333333333,0.17996666666666664,0.04796666666666666,0.32278333333333337,10,5,3,15
gpt-4o,3,1,nl,4.0,0.3333,141.4,1.0,0.8709,0.9333,3.0,5.2,0.25,0.4333,119.6,169.6,1.0,1.0,0.8325,0.9028,1.1,0.09165000000000001,25.0,0.0,0.035150000000000015,0.09999999999999998,0,5,1,5
gpt-4o,3,2,code-law,12.0,1.0,219.66666666666666,0.44093333333333334,0.9016666666666667,0.13333333333333333,12.0,12.0,1.0,1.0,162.86666666666665,275.26666666666665,0.31253333333333333,0.5680333333333333,0.8567333333333332,0.9407,0.0,0.0,56.20000000000001,0.12775,0.04198333333333332,0.049999999999999996,15,0,3,15
gpt-4o,3,1,nl,10.4,0.8667,295.6,0.68475,0.8534,0.4167,7.2,12.0,0.6,1.0,210.2,357.2,0.56455,0.80125,0.7613,0.9448,2.4,0.2,73.5,0.11835000000000001,0.09175,0.3,8,2,2,10
gpt-4o,4,0,no-contract,12.0,1.0,303.7333333333333,0.5411,0.9506333333333332,0.08336666666666666,12.0,12.0,1.0,1.0,276.1333333333333,335.93333333333334,0.5043000000000001,0.5809333333333333,0.9280666666666666,0.9693,0.0,0.0,29.900000000000002,0.038316666666666666,0.02061666666666671,0.02778333333333333,15,0,3,15
gpt-4o,4,1,nl,9.6,0.8,278.8,0.8707,0.8986,0.54,5.6,12.0,0.4667,1.0,187.4,350.6,0.7347,1.0,0.8282,0.9518,3.2,0.26665,81.60000000000001,0.13265,0.061799999999999966,0.2733,3,2,1,5
gpt-4o,4,2,code-law,12.0,1.0,268.26666666666665,0.4913,0.9443333333333334,0.1389,12.0,12.0,1.0,1.0,223.59666666666666,316.2733333333333,0.42363333333333336,0.5547666666666666,0.9182,0.9697,0.0,0.0,46.33833333333333,0.06556666666666665,0.025749999999999995,0.05556666666666666,15,0,3,15
gpt-4o,4,1,nl,12.0,1.0,438.4,0.74375,0.933,0.1,12.0,12.0,1.0,1.0,356.4,529.0,0.5987,0.88805,0.8794,0.9814,0.0,0.0,86.30000000000001,0.144675,0.051000000000000045,0.0667,10,0,2,10
