model,prosocial,cond_id,condition,m,q,R,u,e,o,m_lo,m_hi,q_lo,q_hi,R_lo,R_hi,u_lo,u_hi,e_lo,e_hi,m_hw,q_hw,R_hw,u_hw,e_hw,o_hw,full_horizon,below_horizon,n_parent_runs,total_runs
gpt-5.4-mini,5,2,nl,10.0,0.8333,224.8,0.5659,0.9393,0.4667,6.0,12.0,0.5,1.0,163.0,286.8,0.4189,0.7911,0.9224,0.9561,3.0,0.25,61.900000000000006,0.18610000000000002,0.016849999999999976,0.29165,8,2,2,10
grok-4.1-fast,0,0,no-contract,9.8,0.8167,213.8,0.5491,0.8477,0.4167,5.4,12.0,0.45,1.0,153.2,269.0,0.4051,0.7705,0.6963,0.9827,3.3,0.275,57.900000000000006,0.18269999999999997,0.1432,0.25,8,2,2,10
grok-4.1-fast,0,2,code-law,12.0,1.0,368.0,0.6671,0.9913,0.4,12.0,12.0,1.0,1.0,286.0,450.0,0.534,0.7895,0.9846,0.9979,0.0,0.0,82.0,0.12774999999999997,0.006649999999999989,0.05000000000000002,10,0,2,10
grok-4.1-fast,0,2,nl,10.0,0.8333,336.2,0.7815,0.9686,0.6667,6.0,12.0,0.5,1.0,228.2,419.2,0.6721,0.9029,0.9432,0.9916,3.0,0.25,95.5,0.1154,0.0242,0.16664999999999996,8,2,2,10
grok-4.1-fast,1,0,no-contract,9.8,0.8167,359.0,0.7941,0.8998,0.5,5.4,12.0,0.45,1.0,230.8,480.6,0.6684,0.9199,0.7434,0.9828,3.3,0.275,124.9,0.12575000000000003,0.11970000000000003,0.20835000000000004,8,2,2,10
grok-4.1-fast,1,2,code-law,9.8,0.8167,305.0,0.7117,0.9058,0.4167,5.4,12.0,0.45,1.0,193.84,398.8,0.6019,0.8464,0.7508,0.9909,3.3,0.275,102.48,0.12225000000000003,0.12004999999999999,0.3,8,2,2,10
grok-4.1-fast,1,2,nl,8.0,0.6667,277.2,0.819,0.9208,0.7667,4.0,12.0,0.3333,1.0,164.2,390.2,0.6707,0.9672,0.8563,0.9695,4.0,0.33335000000000004,113.0,0.14825,0.05660000000000004,0.175,6,4,2,10
grok-4.1-fast,2,0,no-contract,9.8,0.8167,232.8,0.5842,0.8832,0.5167,5.4,12.0,0.45,1.0,157.2,308.4,0.4086,0.8042,0.7481,0.9742,3.3,0.275,75.6,0.1978,0.11304999999999998,0.25,8,2,2,10
grok-4.1-fast,2,2,code-law,6.8,0.5667,261.6,0.8651,0.8421,0.6762,2.6,11.0,0.2,0.9167,141.6,386.495,0.7457,0.9751,0.684,0.9566,4.2,0.35834999999999995,122.4475,0.11469999999999997,0.13629999999999998,0.2667,4,6,2,10
grok-4.1-fast,2,2,nl,9.8,0.8167,366.6,0.8283,0.9133,0.5833,5.4,12.0,0.45,1.0,231.3,447.4,0.7686,0.9154,0.7545,0.9988,3.3,0.275,108.04999999999998,0.07340000000000002,0.12215000000000004,0.18335,8,2,2,10
grok-4.1-fast,3,0,no-contract,7.8,0.65,282.8,0.8259,0.8715,0.6833,3.4,12.0,0.2833,1.0,138.4,427.2,0.6729,0.963,0.7076,0.9908,4.3,0.35835,144.39999999999998,0.14504999999999996,0.1416,0.26664999999999994,6,4,2,10
grok-4.1-fast,3,2,code-law,12.0,1.0,355.6,0.6527,0.9907,0.25,12.0,12.0,1.0,1.0,337.0,370.2,0.5858,0.7088,0.985,0.9961,0.0,0.0,16.599999999999994,0.0615,0.005549999999999999,0.13329999999999997,10,0,2,10
grok-4.1-fast,3,2,nl,12.0,1.0,396.8,0.7336,0.9228,0.5667,12.0,12.0,1.0,1.0,340.25,442.6,0.591,0.8551,0.8057,0.9851,0.0,0.0,51.17500000000001,0.13205,0.0897,0.08334999999999998,10,0,2,10
grok-4.1-fast,4,0,no-contract,8.6,0.7167,220.6,0.677,0.8784,0.52,4.6,12.0,0.3833,1.0,155.565,291.6,0.4217,0.9236,0.7778,0.9621,3.7,0.30835,68.01750000000001,0.25095,0.09214999999999995,0.22665000000000002,6,4,2,10
grok-4.1-fast,4,2,code-law,10.8,0.9,378.0,0.7736,0.9419,0.4667,8.4,12.0,0.7,1.0,308.775,442.8,0.7096,0.8479,0.8628,0.989,1.7999999999999998,0.15000000000000002,67.01250000000002,0.06914999999999999,0.06309999999999999,0.18335,8,2,2,10
grok-4.1-fast,4,2,nl,12.0,1.0,403.0,0.738,0.9579,0.4333,12.0,12.0,1.0,1.0,352.2,450.81,0.6192,0.8218,0.8953,0.9944,0.0,0.0,49.30500000000001,0.1013,0.04954999999999998,0.15835,10,0,2,10
grok-4.1-fast,5,0,no-contract,12.0,1.0,315.4,0.5643,0.9893,0.4833,12.0,12.0,1.0,1.0,224.0,415.905,0.4333,0.7163,0.9816,0.997,0.0,0.0,95.95249999999999,0.14150000000000001,0.007699999999999985,0.15000000000000002,10,0,2,10
grok-4.1-fast,5,2,code-law,12.0,1.0,334.0,0.6105,0.9735,0.1833,12.0,12.0,1.0,1.0,251.2,403.0,0.4689,0.7256,0.9544,0.9911,0.0,0.0,75.9,0.12835000000000002,0.018349999999999977,0.075,10,0,2,10
grok-4.1-fast,5,2,nl,12.0,1.0,452.4,0.8243,0.9911,0.4333,12.0,12.0,1.0,1.0,423.4,483.2,0.7993,0.851,0.9839,0.9967,0.0,0.0,29.900000000000006,0.025849999999999984,0.006400000000000017,0.08335000000000004,10,0,2,10
